ActorID,FirstName,LastName,Gender,BirthDate,Nationality,AwardsCount,Biography
31,Woo,Kim,Male,1969-01-11,South Korea,0,Proved mastery in both drama and comedy genres. Known for innovative and bold contributions in the art world. A unique director blending classical and modern cinema. Recognized for a creative directing style and attention to detail. Has a wide filmography including works in different genres.
32,Lei,Yang,Male,1969-05-17,China,2,Regarded as a significant figure in the world of art and culture. Known for innovative and bold contributions in the art world. Participated in socially conscious projects.
33,Mia,Schneider,Female,1959-11-12,Germany,0,Proved mastery in both drama and comedy genres. A unique director blending classical and modern cinema. Respected in the industry and inspired many young talents. Participated in major projects in the film industry for many years. Made a name at international festivals with prestigious awards.
34,Finn,Schmidt,Male,1987-10-08,Germany,1,Directs each film with great precision. A pioneer in the use of innovative techniques in the film industry. An experienced artist who films in challenging locations. A unique director blending classical and modern cinema. Started their career at a young age and achieved many successful projects. Pays special attention to film music and collaborates often.
35,Peng,Chen,Male,1953-11-21,China,7,Received various awards and was praised by critics. Captivates the audience with natural acting and stage presence. Explores cultural diversity and human stories.
36,Rina,Patel,Female,1993-12-26,India,1,Work has inspired many young filmmakers. Known for innovative and bold contributions in the art world. Has a wide filmography including works in different genres. Regarded as a significant figure in the world of art and culture. Praised for emotionally intense performances.
37,Elena,Moreno,Female,1979-03-05,Spain,8,Directs each film with great precision. An experienced artist who films in challenging locations. Work has inspired many young filmmakers. Known for deep character analysis. Started their career at a young age and achieved many successful projects.
38,Carlos,Sánchez,Male,1999-06-19,Mexico,7,Known for deep character analysis. Respected in the industry and inspired many young talents. Directs each film with great precision. Explores cultural diversity and human stories.
39,Pooja,Mehta,Female,1978-01-15,India,10,A pioneer in the use of innovative techniques in the film industry. Known for innovative and bold contributions in the art world. Also successful in voice acting and dubbing. Captivates the audience with natural acting and stage presence. Has a wide filmography including works in different genres.
40,Charlotte,Jones,Female,1958-05-13,United Kingdom,5,Participated in socially conscious projects. Received various awards and was praised by critics. A unique director blending classical and modern cinema. Respected in the industry and inspired many young talents.
41,Alessandro,Rossi,Male,1981-09-21,Italy,4,A pioneer in the use of innovative techniques in the film industry. Started their career at a young age and achieved many successful projects. A unique director blending classical and modern cinema. An experienced artist who films in challenging locations. Recognized for a creative directing style and attention to detail.
42,Aylin,Koç,Female,1970-02-13,Turkey,8,Started their career at a young age and achieved many successful projects. Pays special attention to film music and collaborates often. Regarded as a significant figure in the world of art and culture. A unique director blending classical and modern cinema. Proved mastery in both drama and comedy genres.
43,Priya,Das,Female,1999-12-13,India,10,Participated in major projects in the film industry for many years. Made a name at international festivals with prestigious awards. Regarded as a significant figure in the world of art and culture. Successfully transitioned between cinema and theater. Pays special attention to film music and collaborates often.
44,Max,Schneider,Other,1981-06-29,Germany,2,Has a wide filmography including works in different genres. Known for innovative and bold contributions in the art world. Praised for emotionally intense performances. Participated in major projects in the film industry for many years. Pays special attention to film music and collaborates often. An experienced artist who films in challenging locations.
45,Arthur,Thomas,Male,1990-09-13,France,5,Known for being a versatile artist. Respected in the industry and inspired many young talents. Pays special attention to film music and collaborates often. A unique director blending classical and modern cinema. Work has inspired many young filmmakers.
46,Jessica,Johnson,Female,1963-12-17,United Kingdom,0,Regarded as a significant figure in the world of art and culture. Directs each film with great precision. Also successful in voice acting and dubbing.
47,Pooja,Singh,Female,1989-08-28,India,3,A pioneer in the use of innovative techniques in the film industry. Known for deep character analysis. Started their career at a young age and achieved many successful projects.
48,Lena,Weber,Female,1993-08-28,Germany,0,Explores cultural diversity and human stories. Work has inspired many young filmmakers. Received various awards and was praised by critics. Participated in major projects in the film industry for many years.
49,Louis,Robert,Male,1968-12-13,France,4,Started their career at a young age and achieved many successful projects. Participated in major projects in the film industry for many years. Captivates the audience with natural acting and stage presence. Known for being a versatile artist. Known for deep character analysis.
50,Can,Arslan,Male,1997-10-12,Turkey,8,Has a wide filmography including works in different genres. Explores cultural diversity and human stories. Known for being a versatile artist. Received various awards and was praised by critics. Known for deep character analysis.
51,Haruka,Mori,Female,1956-12-26,Japan,6,Successfully transitioned between cinema and theater. Praised for emotionally intense performances. Known for deep character analysis. Delivered strong performances in many different roles throughout life. Started their career at a young age and achieved many successful projects. Explores cultural diversity and human stories.
52,Mei,Fujimoto,Other,1965-06-02,Japan,5,Known for deep character analysis. Started their career at a young age and achieved many successful projects. Proved mastery in both drama and comedy genres.
53,Anjali,Joshi,Female,1997-01-03,India,4,Proved mastery in both drama and comedy genres. Respected in the industry and inspired many young talents. Pays special attention to film music and collaborates often. Made a name at international festivals with prestigious awards. Has a wide filmography including works in different genres.
54,Ting,Liu,Female,1997-08-08,China,5,Known for being a versatile artist. Praised for emotionally intense performances. Known for innovative and bold contributions in the art world. Proved mastery in both drama and comedy genres. Started their career at a young age and achieved many successful projects.
55,Deniz,Şahin,Male,1965-07-26,Turkey,10,Made a name at international festivals with prestigious awards. Pays special attention to film music and collaborates often. Praised for emotionally intense performances.
56,Hana,Yoon,Female,2000-07-29,South Korea,10,Praised for emotionally intense performances. Respected in the industry and inspired many young talents. Known for innovative and bold contributions in the art world. Directs each film with great precision. Has a wide filmography including works in different genres.
57,Soo,Shin,Male,1977-03-02,South Korea,0,An experienced artist who films in challenging locations. Has a wide filmography including works in different genres. Delivered strong performances in many different roles throughout life. Directs each film with great precision. Received various awards and was praised by critics.
58,Haruto,Kobayashi,Male,1975-10-03,Japan,9,Directs each film with great precision. A unique director blending classical and modern cinema. Participated in socially conscious projects. Received various awards and was praised by critics. Pays special attention to film music and collaborates often. Known for being a versatile artist.
59,Stefano,Ferrari,Male,1992-09-02,Italy,0,Started their career at a young age and achieved many successful projects. Respected in the industry and inspired many young talents. Successfully transitioned between cinema and theater. Has a wide filmography including works in different genres. An experienced artist who films in challenging locations. Made a name at international festivals with prestigious awards.
60,Takumi,Shimizu,Male,1989-04-10,Japan,8,A pioneer in the use of innovative techniques in the film industry. Delivered strong performances in many different roles throughout life. Explores cultural diversity and human stories. Known for deep character analysis.
61,Barbara,Johnson,Female,1954-09-12,USA,5,Participated in socially conscious projects. Also successful in voice acting and dubbing. Explores cultural diversity and human stories.
62,Jonas,Schmidt,Male,1963-06-29,Germany,9,A pioneer in the use of innovative techniques in the film industry. Delivered strong performances in many different roles throughout life. Praised for emotionally intense performances. Successfully transitioned between cinema and theater.
63,Francesco,Marino,Male,1957-08-08,Italy,6,Known for innovative and bold contributions in the art world. Also successful in voice acting and dubbing. Successfully transitioned between cinema and theater. Known for being a versatile artist. An experienced artist who films in challenging locations.
64,Ella,Wilson,Female,1987-12-27,United Kingdom,0,Delivered strong performances in many different roles throughout life. Made a name at international festivals with prestigious awards. Recognized for a creative directing style and attention to detail. Respected in the industry and inspired many young talents. Pays special attention to film music and collaborates often.
65,Joon,Lee,Male,1962-05-05,South Korea,4,An experienced artist who films in challenging locations. Pays special attention to film music and collaborates often. Participated in socially conscious projects.
66,Ana,Flores,Female,1953-05-21,Mexico,2,Known for innovative and bold contributions in the art world. Made a name at international festivals with prestigious awards. Known for being a versatile artist. Work has inspired many young filmmakers. Successfully transitioned between cinema and theater. Directs each film with great precision.
67,Takumi,Mori,Male,1971-04-24,Japan,4,Proved mastery in both drama and comedy genres. Participated in socially conscious projects. Pays special attention to film music and collaborates often. Delivered strong performances in many different roles throughout life. Captivates the audience with natural acting and stage presence. Recognized for a creative directing style and attention to detail.
68,Jessica,Jones,Female,1989-07-12,USA,6,Made a name at international festivals with prestigious awards. Recognized for a creative directing style and attention to detail. Work has inspired many young filmmakers. Known for innovative and bold contributions in the art world. Regarded as a significant figure in the world of art and culture. Received various awards and was praised by critics.
69,Elisa,Russo,Female,1983-04-21,Italy,8,Delivered strong performances in many different roles throughout life. Has a wide filmography including works in different genres. Pays special attention to film music and collaborates often.
70,Emre,Aydın,Male,1996-01-21,Turkey,1,Directs each film with great precision. A pioneer in the use of innovative techniques in the film industry. Participated in major projects in the film industry for many years. Known for deep character analysis.
71,Ren,Ito,Male,1983-07-20,Japan,1,Proved mastery in both drama and comedy genres. Participated in major projects in the film industry for many years. Respected in the industry and inspired many young talents. Started their career at a young age and achieved many successful projects. Successfully transitioned between cinema and theater.
72,Giovanni,Rossi,Male,1963-02-07,Italy,4,Successfully transitioned between cinema and theater. Known for innovative and bold contributions in the art world. Pays special attention to film music and collaborates often. Captivates the audience with natural acting and stage presence. Directs each film with great precision. Work has inspired many young filmmakers.
73,Ryota,Saito,Other,1951-09-15,Japan,2,Started their career at a young age and achieved many successful projects. Delivered strong performances in many different roles throughout life. Proved mastery in both drama and comedy genres. Known for being a versatile artist. Pays special attention to film music and collaborates often. Received various awards and was praised by critics.
74,Gabriel,Bernard,Male,1991-01-04,France,7,Praised for emotionally intense performances. An experienced artist who films in challenging locations. A unique director blending classical and modern cinema.
75,Alice,Martin,Female,1976-02-18,France,9,Proved mastery in both drama and comedy genres. A unique director blending classical and modern cinema. Known for deep character analysis. Made a name at international festivals with prestigious awards. Also successful in voice acting and dubbing.
76,Marco,Marino,Male,1982-05-09,Italy,8,Explores cultural diversity and human stories. Captivates the audience with natural acting and stage presence. Received various awards and was praised by critics.
77,Francesco,Rossi,Male,1983-06-29,Italy,5,A pioneer in the use of innovative techniques in the film industry. Proved mastery in both drama and comedy genres. Known for being a versatile artist.
78,Martina,Rossi,Female,1979-10-31,Italy,5,Praised for emotionally intense performances. Made a name at international festivals with prestigious awards. Pays special attention to film music and collaborates often. Also successful in voice acting and dubbing. Directs each film with great precision.
79,Juana,García,Female,1966-05-09,Mexico,7,Delivered strong performances in many different roles throughout life. Recognized for a creative directing style and attention to detail. Received various awards and was praised by critics.
80,Léna,Moreau,Female,1978-04-25,France,6,Regarded as a significant figure in the world of art and culture. Received various awards and was praised by critics. Praised for emotionally intense performances. Recognized for a creative directing style and attention to detail. Delivered strong performances in many different roles throughout life. A pioneer in the use of innovative techniques in the film industry.
81,Yui,Kobayashi,Female,1979-10-12,Japan,5,Explores cultural diversity and human stories. Known for being a versatile artist. Directs each film with great precision. Pays special attention to film music and collaborates often. Respected in the industry and inspired many young talents. Made a name at international festivals with prestigious awards.
82,Yu-Jin,Jung,Female,1982-12-16,South Korea,1,Has a wide filmography including works in different genres. Known for deep character analysis. Work has inspired many young filmmakers. Made a name at international festivals with prestigious awards. Participated in socially conscious projects. Delivered strong performances in many different roles throughout life.
83,David,Jones,Male,1979-06-03,USA,7,Made a name at international festivals with prestigious awards. Successfully transitioned between cinema and theater. Directs each film with great precision. A pioneer in the use of innovative techniques in the film industry. Known for being a versatile artist. Received various awards and was praised by critics.
84,Martha,Sánchez,Female,1981-08-18,Mexico,4,Has a wide filmography including works in different genres. Also successful in voice acting and dubbing. Praised for emotionally intense performances.
85,Arjun,Gupta,Male,1964-05-09,India,9,Received various awards and was praised by critics. Known for innovative and bold contributions in the art world. Has a wide filmography including works in different genres. Proved mastery in both drama and comedy genres. Praised for emotionally intense performances. A pioneer in the use of innovative techniques in the film industry.
86,Michael,Wilson,Male,2000-11-21,USA,2,A pioneer in the use of innovative techniques in the film industry. Pays special attention to film music and collaborates often. Directs each film with great precision. Has a wide filmography including works in different genres. A unique director blending classical and modern cinema. Known for innovative and bold contributions in the art world.
87,Feng,Liu,Male,1978-03-16,China,1,Known for being a versatile artist. Made a name at international festivals with prestigious awards. Captivates the audience with natural acting and stage presence.
88,Jian,Chen,Male,2000-05-22,China,4,Recognized for a creative directing style and attention to detail. Work has inspired many young filmmakers. Delivered strong performances in many different roles throughout life. Captivates the audience with natural acting and stage presence. Pays special attention to film music and collaborates often. Started their career at a young age and achieved many successful projects.
89,Zeynep,Öztürk,Female,1990-07-22,Turkey,1,Also successful in voice acting and dubbing. A pioneer in the use of innovative techniques in the film industry. Successfully transitioned between cinema and theater. Has a wide filmography including works in different genres. Participated in socially conscious projects.
90,Hao,Zhang,Male,1976-11-28,China,5,Started their career at a young age and achieved many successful projects. Recognized for a creative directing style and attention to detail. Known for innovative and bold contributions in the art world. Proved mastery in both drama and comedy genres.
91,Woo,Kang,Male,1999-09-15,South Korea,7,Work has inspired many young filmmakers. Has a wide filmography including works in different genres. Delivered strong performances in many different roles throughout life. Explores cultural diversity and human stories.
92,Verónica,Sánchez,Female,1997-02-28,Mexico,9,Known for innovative and bold contributions in the art world. Respected in the industry and inspired many young talents. Praised for emotionally intense performances.
93,Edward,Taylor,Male,1996-05-31,United Kingdom,8,Pays special attention to film music and collaborates often. Known for innovative and bold contributions in the art world. Known for deep character analysis. An experienced artist who films in challenging locations.
94,Hina,Yamamoto,Female,1996-06-25,Japan,2,Respected in the industry and inspired many young talents. Successfully transitioned between cinema and theater. Proved mastery in both drama and comedy genres. A pioneer in the use of innovative techniques in the film industry.
95,Fen,Liu,Female,1957-01-28,China,10,Known for innovative and bold contributions in the art world. Praised for emotionally intense performances. Delivered strong performances in many different roles throughout life. Work has inspired many young filmmakers. Participated in socially conscious projects.
96,Lucy,Johnson,Female,1965-02-16,United Kingdom,2,Also successful in voice acting and dubbing. Work has inspired many young filmmakers. Known for being a versatile artist. Respected in the industry and inspired many young talents.
97,Juan,Garcia,Male,1952-07-18,Spain,10,Praised for emotionally intense performances. Recognized for a creative directing style and attention to detail. Pays special attention to film music and collaborates often. A unique director blending classical and modern cinema. Known for deep character analysis.
98,Marta,Sanchez,Female,1994-09-06,Spain,10,Captivates the audience with natural acting and stage presence. Proved mastery in both drama and comedy genres. Also successful in voice acting and dubbing. Explores cultural diversity and human stories. Delivered strong performances in many different roles throughout life.
99,Joon,Yoon,Male,1955-05-18,South Korea,6,Directs each film with great precision. Recognized for a creative directing style and attention to detail. Respected in the industry and inspired many young talents. Work has inspired many young filmmakers. Known for innovative and bold contributions in the art world. Successfully transitioned between cinema and theater.
100,Jesús,Martínez,Male,1980-12-26,Mexico,5,Respected in the industry and inspired many young talents. Proved mastery in both drama and comedy genres. Directs each film with great precision.
101,William,Jones,Male,1972-03-29,United Kingdom,0,Explores cultural diversity and human stories. Work has inspired many young filmmakers. Known for deep character analysis. Proved mastery in both drama and comedy genres. Made a name at international festivals with prestigious awards.
102,Joseph,Williams,Other,1978-01-21,USA,7,Captivates the audience with natural acting and stage presence. Delivered strong performances in many different roles throughout life. Pays special attention to film music and collaborates often. Participated in major projects in the film industry for many years. Has a wide filmography including works in different genres. Explores cultural diversity and human stories.
103,Lan,Zhou,Female,1971-08-07,China,5,Received various awards and was praised by critics. Delivered strong performances in many different roles throughout life. Captivates the audience with natural acting and stage presence.
104,Isabel,Fernandez,Female,1992-03-21,Spain,0,Known for deep character analysis. Known for innovative and bold contributions in the art world. Regarded as a significant figure in the world of art and culture.
105,Fernando,Hernández,Male,1986-03-06,Mexico,6,A unique director blending classical and modern cinema. Participated in socially conscious projects. Recognized for a creative directing style and attention to detail.
106,Susan,Rodriguez,Female,1956-08-06,USA,7,Work has inspired many young filmmakers. Also successful in voice acting and dubbing. Started their career at a young age and achieved many successful projects. Known for innovative and bold contributions in the art world. Explores cultural diversity and human stories.
107,Sarah,Miller,Female,1980-06-03,USA,2,Work has inspired many young filmmakers. An experienced artist who films in challenging locations. Explores cultural diversity and human stories. Received various awards and was praised by critics.
108,Takumi,Shimizu,Male,1979-11-18,Japan,7,Work has inspired many young filmmakers. An experienced artist who films in challenging locations. Known for innovative and bold contributions in the art world. Respected in the industry and inspired many young talents.
109,Pablo,Sanchez,Male,1985-04-03,Spain,9,An experienced artist who films in challenging locations. Participated in socially conscious projects. Captivates the audience with natural acting and stage presence. Successfully transitioned between cinema and theater. A unique director blending classical and modern cinema.
110,Lea,Meyer,Female,1951-06-30,Germany,10,Known for deep character analysis. A unique director blending classical and modern cinema. Delivered strong performances in many different roles throughout life.
111,Martha,Ramírez,Female,1952-05-23,Mexico,4,Known for being a versatile artist. Received various awards and was praised by critics. A unique director blending classical and modern cinema. Captivates the audience with natural acting and stage presence.
112,Zeynep,Kaya,Female,1984-02-10,Turkey,0,Recognized for a creative directing style and attention to detail. Participated in major projects in the film industry for many years. Directs each film with great precision.
113,John,Davis,Male,1987-01-18,USA,8,Known for being a versatile artist. Pays special attention to film music and collaborates often. Received various awards and was praised by critics. Known for innovative and bold contributions in the art world. An experienced artist who films in challenging locations. Recognized for a creative directing style and attention to detail.
114,Peng,Huang,Male,1992-12-01,China,5,Directs each film with great precision. Participated in socially conscious projects. Respected in the industry and inspired many young talents. A pioneer in the use of innovative techniques in the film industry.
115,Federica,Ricci,Female,1973-09-19,Italy,3,Regarded as a significant figure in the world of art and culture. Participated in socially conscious projects. Delivered strong performances in many different roles throughout life. Proved mastery in both drama and comedy genres.
116,Marie,Meyer,Female,1968-08-06,Germany,7,Participated in socially conscious projects. Known for being a versatile artist. Regarded as a significant figure in the world of art and culture. Delivered strong performances in many different roles throughout life. Started their career at a young age and achieved many successful projects.
117,Elena,Perez,Female,1984-01-24,Spain,2,Received various awards and was praised by critics. Delivered strong performances in many different roles throughout life. Successfully transitioned between cinema and theater. Has a wide filmography including works in different genres. A pioneer in the use of innovative techniques in the film industry.
118,Min-Seo,Choi,Female,1992-12-24,South Korea,8,Participated in socially conscious projects. Successfully transitioned between cinema and theater. Regarded as a significant figure in the world of art and culture. Known for innovative and bold contributions in the art world. Started their career at a young age and achieved many successful projects.
119,Ana,Garcia,Female,1971-06-20,Spain,10,Praised for emotionally intense performances. Proved mastery in both drama and comedy genres. Received various awards and was praised by critics. Started their career at a young age and achieved many successful projects.
120,Ravi,Gupta,Male,1992-05-19,India,0,Known for deep character analysis. Praised for emotionally intense performances. Captivates the audience with natural acting and stage presence. Recognized for a creative directing style and attention to detail.
121,Felix,Schulz,Male,1955-04-23,Germany,3,Made a name at international festivals with prestigious awards. Known for deep character analysis. Received various awards and was praised by critics.
122,Kavita,Sharma,Female,1966-09-19,India,0,A unique director blending classical and modern cinema. Work has inspired many young filmmakers. Started their career at a young age and achieved many successful projects. Respected in the industry and inspired many young talents. Delivered strong performances in many different roles throughout life.
123,Bo-Ra,Yoon,Other,1998-09-28,South Korea,2,Regarded as a significant figure in the world of art and culture. Recognized for a creative directing style and attention to detail. Started their career at a young age and achieved many successful projects. Respected in the industry and inspired many young talents. Made a name at international festivals with prestigious awards. Directs each film with great precision.
124,Luca,Romano,Male,1966-09-15,Italy,4,Made a name at international festivals with prestigious awards. Work has inspired many young filmmakers. Praised for emotionally intense performances. Explores cultural diversity and human stories.
125,Pooja,Patel,Female,1957-10-13,India,2,Captivates the audience with natural acting and stage presence. Respected in the industry and inspired many young talents. Proved mastery in both drama and comedy genres. Participated in major projects in the film industry for many years.
126,Leon,Meyer,Male,1990-01-29,Germany,4,Regarded as a significant figure in the world of art and culture. Praised for emotionally intense performances. A pioneer in the use of innovative techniques in the film industry.
127,Alejandro,González,Male,1960-08-09,Mexico,2,Also successful in voice acting and dubbing. An experienced artist who films in challenging locations. Successfully transitioned between cinema and theater. Delivered strong performances in many different roles throughout life. Started their career at a young age and achieved many successful projects. Pays special attention to film music and collaborates often.
128,Jennifer,Garcia,Female,1969-08-29,USA,2,Known for being a versatile artist. Work has inspired many young filmmakers. A pioneer in the use of innovative techniques in the film industry. Known for deep character analysis. Participated in socially conscious projects. Captivates the audience with natural acting and stage presence.
129,Lan,Zhou,Female,1969-08-05,China,1,An experienced artist who films in challenging locations. Successfully transitioned between cinema and theater. A pioneer in the use of innovative techniques in the film industry. Has a wide filmography including works in different genres. A unique director blending classical and modern cinema. Started their career at a young age and achieved many successful projects.
130,Miyu,Mori,Female,1995-05-08,Japan,8,Made a name at international festivals with prestigious awards. Respected in the industry and inspired many young talents. An experienced artist who films in challenging locations. Directs each film with great precision.
131,Olivia,Roberts,Female,1993-11-08,United Kingdom,7,Directs each film with great precision. Known for innovative and bold contributions in the art world. An experienced artist who films in challenging locations.
132,Sunita,Reddy,Female,1955-03-07,India,10,Known for being a versatile artist. Participated in major projects in the film industry for many years. Explores cultural diversity and human stories. Regarded as a significant figure in the world of art and culture. Recognized for a creative directing style and attention to detail.
133,Antonio,Martinez,Male,1988-01-05,Spain,8,Has a wide filmography including works in different genres. Captivates the audience with natural acting and stage presence. Received various awards and was praised by critics.
134,Elias,Meyer,Male,1962-02-24,Germany,6,Explores cultural diversity and human stories. Pays special attention to film music and collaborates often. Has a wide filmography including works in different genres. Also successful in voice acting and dubbing. Participated in socially conscious projects. Known for innovative and bold contributions in the art world.
135,Martina,Marino,Female,1960-08-23,Italy,6,Known for being a versatile artist. Proved mastery in both drama and comedy genres. Participated in major projects in the film industry for many years. Pays special attention to film music and collaborates often.
136,Aya,Ito,Other,1991-07-16,Japan,8,Proved mastery in both drama and comedy genres. Pays special attention to film music and collaborates often. Directs each film with great precision. A pioneer in the use of innovative techniques in the film industry. Known for innovative and bold contributions in the art world. Regarded as a significant figure in the world of art and culture.
137,Gabriel,Durand,Other,1960-02-15,France,9,Proved mastery in both drama and comedy genres. Recognized for a creative directing style and attention to detail. Has a wide filmography including works in different genres.
138,Lucy,Smith,Female,1990-01-19,United Kingdom,3,Explores cultural diversity and human stories. Directs each film with great precision. Proved mastery in both drama and comedy genres.
139,Hao,Wu,Male,1955-01-24,China,4,Known for being a versatile artist. A unique director blending classical and modern cinema. Respected in the industry and inspired many young talents. Work has inspired many young filmmakers.
140,Chiara,Ferrari,Female,1971-04-03,Italy,10,Known for deep character analysis. Delivered strong performances in many different roles throughout life. Regarded as a significant figure in the world of art and culture. Received various awards and was praised by critics.
141,Lan,Wu,Other,1965-09-17,China,7,A pioneer in the use of innovative techniques in the film industry. Praised for emotionally intense performances. Also successful in voice acting and dubbing.
142,Pooja,Joshi,Female,1978-08-06,India,2,Explores cultural diversity and human stories. Made a name at international festivals with prestigious awards. Pays special attention to film music and collaborates often. Participated in socially conscious projects. Captivates the audience with natural acting and stage presence.
