MovieID,Title,ReleaseYear,DurationMinutes,Language,Country,Budget,BoxOffice,Description,GenreID,DirectorID
29,Ghost Night,2021,95,English,USA,292768054.19,905195361.27,Elegantly addresses the relationship between nature and humanity. Stands out with its original script and captivating storyline.,7,42
30,Blood Battle Dream,1974,98,English,USA,227386250.82,285649165.9,Elegantly addresses the relationship between nature and humanity. The plot tells a story where love and drama intertwine. Aesthetically and artistically successful film.,2,36
31,Shadow Whisper,2020,179,English,United Kingdom,47747221.59,212872451.87,Stands out with fast-paced action scenes. Offers a unique interpretation of historical events. Notable for its color palette and cinematography.,10,49
32,Reino Fuego Dragn,1988,168,Spanish,Spain,38504279.55,44044867.32,Stands out with its original script and captivating storyline. Features powerful dialogues and cleverly constructed plot. Offers a unique interpretation of historical events.,7,61
33,Tabibito Unmei Taiy,2008,158,Japanese,Japan,285114270.2,947252943.33,Amazes viewers with its visual effects. A thrilling production filled with suspenseful moments. Its fast pace and surprising ending astonish viewers.,3,64
34,Light Night Shadow Whisper,2009,144,English,United Kingdom,66173202.03,262475395.34,Aesthetically and artistically successful film. Centers on childhood memories and family bonds.,6,70
35,Gidae Haneul Sarang,2001,165,Korean,South Korea,276840575.32,205726948.92,A must-watch for its gripping script and powerful performances. Features powerful dialogues and cleverly constructed plot. Successfully reflects local cultural motifs. Stands out with excellent music and set design.,3,21
36,Yoru Ken Senshi Hoshi,1976,102,Japanese,Japan,47834660.4,30173793.49,Memorable scenes leave a lasting impact. Amazes viewers with its visual effects. A story blending fantasy elements with the real world. Centers on childhood memories and family bonds.,1,69
37,Light Night,1984,109,English,USA,29870208.07,114100174.21,A striking film with strong social messages. Elegantly addresses the relationship between nature and humanity.,2,42
38,Bimil Sarangi Bitnaneun,1973,107,Korean,South Korea,278402191.37,709218147.59,Notable for its color palette and cinematography. Its mysterious atmosphere captivates the audience. Enriched with cultural elements and historical references.,7,19
39,toile me,1991,168,French,France,170815416.9,301099529.11,Stands out with its original script and captivating storyline. Successfully reflects local cultural motifs. A must-watch for its gripping script and powerful performances. Worth watching for its emotional depth and character development. A production that will be remembered in cinema history.,3,5
40,Dragn Reino,1980,153,Spanish,Spain,291055684.65,1265369856.5,Amazes viewers with its visual effects. Elegantly addresses the relationship between nature and humanity. A striking film with strong social messages. Stands out with excellent music and set design. Enriched with cultural elements and historical references.,10,22
41,Kaze Tsuki Taiy Unmei,2016,111,Japanese,Japan,98525136.23,306176874.45,The plot tells a story where love and drama intertwine. A striking film with strong social messages.,7,32
42,Reina Fuego Legado Luz,2019,134,Spanish,Mexico,159570957.02,423934080.59,Focuses on characters with psychological depth. Successfully reflects local cultural motifs.,9,5
43,Taiy Hoshi,2014,96,Japanese,Japan,107842501.66,169936141.62,Stands out with its original script and captivating storyline. Offers a unique interpretation of historical events. Stands out with excellent music and set design. Elegantly addresses the relationship between nature and humanity.,7,28
44,Tormenta Secreto Fuego,2007,139,Spanish,Mexico,231664584.84,1027176599.87,Notable for its color palette and cinematography. Stands out with fast-paced action scenes.,1,59
45,Pyar Khwaab Jeevan Dosti,2014,84,Hindi,India,89328699.37,347309630.24,Features powerful dialogues and cleverly constructed plot. A must-watch for its gripping script and powerful performances.,6,68
46,Sombra Secreto Legado Tormenta,1973,86,Spanish,Mexico,33734479.85,72365818.52,Focuses on characters with psychological depth. Offers a unique interpretation of historical events.,9,47
47,me Ombre Libert Feu,1978,149,French,France,34510524.81,91564035.09,Enriched with cultural elements and historical references. Its fast pace and surprising ending astonish viewers. Centers on childhood memories and family bonds. Memorable scenes leave a lasting impact.,6,31
48,Traum Blut,1973,124,German,Germany,135996989.5,374879159.94,Stands out with excellent music and set design. Features powerful dialogues and cleverly constructed plot. Its mysterious atmosphere captivates the audience. Centers on childhood memories and family bonds.,2,48
49,Noche Reina,2021,138,Spanish,Mexico,26648970.67,60175274.85,Stands out with its original script and captivating storyline. Enriched with cultural elements and historical references.,2,25
50,Shadow Night Dragon Kingdom,2014,99,English,United Kingdom,262560445.29,746484125.65,A striking film with strong social messages. Its mysterious atmosphere captivates the audience. Memorable scenes leave a lasting impact.,3,64
51,Hearts Chueok,2017,104,Korean,South Korea,19353377.82,85601376.83,Memorable scenes leave a lasting impact. Elegantly addresses the relationship between nature and humanity. A must-watch for its gripping script and powerful performances. Notable for its color palette and cinematography.,1,38
52,Fuoco Sussurro Notte Tempesta,2020,155,Italian,Italy,199923676.08,576929355.32,Stands out with its original script and captivating storyline. Enriched with cultural elements and historical references. Worth watching for its emotional depth and character development. A striking film with strong social messages.,6,63
53,Battle Blood Fire Soul,1988,125,English,USA,85672419.11,411481403.39,Offers a unique interpretation of historical events. Centers on childhood memories and family bonds. Aesthetically and artistically successful film.,1,19
54,Road Love Sun,1985,120,Turkish,Turkey,172570288.71,428664402.13,Centers on childhood memories and family bonds. A must-watch for its gripping script and powerful performances.,2,6
55,Shadow Light,1979,149,English,USA,292651970.83,849098469.79,Successfully reflects local cultural motifs. Aesthetically and artistically successful film. Stands out with excellent music and set design. A must-watch for its gripping script and powerful performances. The film takes the audience on a deep adventure.,6,58
56,Batalla Legado Tormenta,2004,162,Spanish,Mexico,211782681.3,557538669.91,A must-watch for its gripping script and powerful performances. Offers a unique interpretation of historical events. A thrilling production filled with suspenseful moments. A story blending fantasy elements with the real world. A striking film with strong social messages.,9,43
57,Hoshi Tabibito,1978,119,Japanese,Japan,7926280.65,25989077.12,A must-watch for its gripping script and powerful performances. The plot tells a story where love and drama intertwine.,9,15
58,Luz Sombras Reina,2011,147,Spanish,Spain,67032085.18,315754157.64,Centers on childhood memories and family bonds. Stands out with fast-paced action scenes. Its fast pace and surprising ending astonish viewers. Interpersonal relationships are impressively portrayed. Amazes viewers with its visual effects.,4,75
59,Sarang Sarangi Saebyeok,1990,145,Korean,South Korea,283048948.15,1298631765.77,Interpersonal relationships are impressively portrayed. Its mysterious atmosphere captivates the audience. The film takes the audience on a deep adventure. A production that will be remembered in cinema history.,10,78
60,Soul Light Dream,1992,151,English,USA,26735789.96,100936700.11,Stands out with its original script and captivating storyline. A story blending fantasy elements with the real world. Memorable scenes leave a lasting impact. Aesthetically and artistically successful film.,5,58
61,Secreto Reina Batalla Dragn,2008,106,Spanish,Spain,91317725.99,451814623.75,The film takes the audience on a deep adventure. Memorable scenes leave a lasting impact.,2,19
62,Luce Tempesta,1987,151,Italian,Italy,138904929.39,424441160.93,A production that will be remembered in cinema history. Focuses on characters with psychological depth. A striking film with strong social messages. The plot tells a story where love and drama intertwine. Elegantly addresses the relationship between nature and humanity.,7,23
63,Feuer Weg Traum,2001,108,German,Germany,8538584.4,4363302.33,Notable for its color palette and cinematography. Centers on childhood memories and family bonds.,9,60
64,Traum Knig Fluss,1996,168,German,Germany,193613360.76,121587570.38,Elegantly addresses the relationship between nature and humanity. A striking film with strong social messages. Memorable scenes leave a lasting impact. Enriched with cultural elements and historical references.,3,63
65,Tempesta Battaglia Ombra,2013,127,Italian,Italy,154001497.89,475662361.33,A must-watch for its gripping script and powerful performances. Stands out with excellent music and set design. Offers a unique interpretation of historical events.,8,16
66,Shadow Night Silence,1992,114,Turkish,Turkey,108668452.66,365464188.87,Its fast pace and surprising ending astonish viewers. Amazes viewers with its visual effects.,3,7
67,Eredit  Notte Sussurro,1981,176,Italian,Italy,50557208.25,98674064.19,A thrilling production filled with suspenseful moments. Focuses on characters with psychological depth. Elegantly addresses the relationship between nature and humanity. Its mysterious atmosphere captivates the audience.,2,77
68,Road King Love,1970,116,Turkish,Turkey,112217751.43,300973127.74,Its fast pace and surprising ending astonish viewers. Worth watching for its emotional depth and character development. Amazes viewers with its visual effects.,3,67
69,Qing Shan,2009,171,Chinese,China,165558292.11,646236983.6,A thrilling production filled with suspenseful moments. Aesthetically and artistically successful film.,9,69
70,Shizukesa Tabibito Kaze Yrei,2000,168,Japanese,Japan,109089285.44,455630400.15,A story blending fantasy elements with the real world. A thrilling production filled with suspenseful moments.,6,40
71,Sang Nuit,1978,119,French,France,38040582.25,41311392.76,The film takes the audience on a deep adventure. Successfully reflects local cultural motifs.,3,30
72,Uri Baram Bitnaneun Bam,2018,105,Korean,South Korea,32791305.87,133419570.58,The plot tells a story where love and drama intertwine. Stands out with fast-paced action scenes. A production that will be remembered in cinema history. Centers on childhood memories and family bonds.,7,6
73,Hana Tabibito,2018,157,Japanese,Japan,62017655.37,282508213.21,Stands out with fast-paced action scenes. Aesthetically and artistically successful film.,2,16
74,Batalla Luz Reino Reina,1987,125,Spanish,Mexico,48586922.14,133752745.18,Elegantly addresses the relationship between nature and humanity. Successfully reflects local cultural motifs.,10,45
75,Ken Yoru,2003,116,Japanese,Japan,51946152.1,202230547.64,Its fast pace and surprising ending astonish viewers. Offers a unique interpretation of historical events. A striking film with strong social messages.,4,25
76,Light Soul Night,2014,136,English,USA,202220946.6,198775156.51,Memorable scenes leave a lasting impact. A thrilling production filled with suspenseful moments. Successfully reflects local cultural motifs.,10,24
77,Fire Blood Shadow King,1977,146,English,USA,41205754.79,161948157.82,A striking film with strong social messages. A thrilling production filled with suspenseful moments. Interpersonal relationships are impressively portrayed. A production that will be remembered in cinema history.,8,15
78,Haneul Bam Bitnaneun,2008,108,Korean,South Korea,166397809.39,300789326.71,Stands out with its original script and captivating storyline. The film takes the audience on a deep adventure. Centers on childhood memories and family bonds. A striking film with strong social messages.,5,57
79,Drago Sussurro,1976,146,Italian,Italy,197735204.85,174506577.13,A story blending fantasy elements with the real world. Stands out with its original script and captivating storyline.,7,57
80,Light Dragon,1993,105,English,United Kingdom,178690768.57,885944530.17,Enriched with cultural elements and historical references. Successfully reflects local cultural motifs. Offers a unique interpretation of historical events. Elegantly addresses the relationship between nature and humanity. Notable for its color palette and cinematography.,4,44
81,Safar Raat,1992,131,Hindi,India,296263198.92,829941450.4,Enriched with cultural elements and historical references. A striking film with strong social messages.,8,78
82,Chueok Baram Sarangi,1984,92,Korean,South Korea,221470607.6,938239434.95,Features powerful dialogues and cleverly constructed plot. Centers on childhood memories and family bonds. A must-watch for its gripping script and powerful performances. Aesthetically and artistically successful film. A production that will be remembered in cinema history.,3,4
83,Luz Noche Fuego,2009,164,Spanish,Spain,225607119.08,892067354.02,Its fast pace and surprising ending astonish viewers. Enriched with cultural elements and historical references. Focuses on characters with psychological depth. A must-watch for its gripping script and powerful performances. The film takes the audience on a deep adventure.,2,10
84,Taiy Ken Kaze,1997,137,Japanese,Japan,94710479.75,207748813.79,Offers a unique interpretation of historical events. Stands out with its original script and captivating storyline. A striking film with strong social messages. Memorable scenes leave a lasting impact.,2,50
85,Sun Silence Fate Dream,1989,177,Turkish,Turkey,33259906.87,117660599.45,Focuses on characters with psychological depth. Stands out with its original script and captivating storyline. Its fast pace and surprising ending astonish viewers. The plot tells a story where love and drama intertwine. Interpersonal relationships are impressively portrayed.,7,63
86,Geist Schatten Weg,2001,158,German,Germany,203108091.23,802097911.08,Aesthetically and artistically successful film. Its mysterious atmosphere captivates the audience.,10,49
87,Light Ghost,2021,177,English,USA,267457195.69,544450406.56,Memorable scenes leave a lasting impact. Its mysterious atmosphere captivates the audience. The plot tells a story where love and drama intertwine. Centers on childhood memories and family bonds.,10,4
88,Nuit Feu Cur,1985,155,French,France,25940050.14,93279400.31,Focuses on characters with psychological depth. A must-watch for its gripping script and powerful performances.,4,40
89,Hoshi Tsuki Taiy Tabibito,1999,145,Japanese,Japan,270472248.64,459744666.73,Elegantly addresses the relationship between nature and humanity. Interpersonal relationships are impressively portrayed. A must-watch for its gripping script and powerful performances. A thrilling production filled with suspenseful moments. A striking film with strong social messages.,7,73
90,Storm Battle Night,2014,143,English,United Kingdom,151079172.51,595564303.79,Memorable scenes leave a lasting impact. Amazes viewers with its visual effects. A striking film with strong social messages. Notable for its color palette and cinematography.,4,44
91,Dragon Light Battle Queen,2023,116,English,United Kingdom,79913952.36,146877146.34,Elegantly addresses the relationship between nature and humanity. A must-watch for its gripping script and powerful performances.,9,28
92,Weg Feuer,1974,140,German,Germany,128418214.14,264917040.64,Memorable scenes leave a lasting impact. Centers on childhood memories and family bonds. Focuses on characters with psychological depth. A must-watch for its gripping script and powerful performances.,10,68
93,Cur Lumire Voix me,1996,159,French,France,154853085.1,545395835.92,Amazes viewers with its visual effects. Centers on childhood memories and family bonds. A story blending fantasy elements with the real world. Stands out with excellent music and set design. Enriched with cultural elements and historical references.,7,33
94,Segreto Fuoco,2004,152,Italian,Italy,218121213.02,167837179.17,Worth watching for its emotional depth and character development. Aesthetically and artistically successful film. A story blending fantasy elements with the real world.,10,56
95,Eredit  Luce,2018,132,Italian,Italy,95936627.46,406384168.56,Enriched with cultural elements and historical references. A production that will be remembered in cinema history. Notable for its color palette and cinematography. Stands out with its original script and captivating storyline. Centers on childhood memories and family bonds.,5,56
96,Fuego Susurro Reino,1985,94,Spanish,Spain,45413693.23,28368516.41,Memorable scenes leave a lasting impact. Notable for its color palette and cinematography. The plot tells a story where love and drama intertwine. Amazes viewers with its visual effects. Stands out with its original script and captivating storyline.,7,31
97,Seele Traum,1978,115,German,Germany,197771878.44,255508114.82,The plot tells a story where love and drama intertwine. Stands out with fast-paced action scenes.,1,34
98,Light Battle,2008,132,English,USA,269083586.63,947853480.83,A thrilling production filled with suspenseful moments. Elegantly addresses the relationship between nature and humanity. A story blending fantasy elements with the real world.,5,9
99,Zhan Tian,1977,179,Chinese,China,279500909.76,456463071.27,Successfully reflects local cultural motifs. A must-watch for its gripping script and powerful performances.,9,75
100,Battle King,2023,175,English,USA,223315712.76,1051761274.6,Amazes viewers with its visual effects. Enriched with cultural elements and historical references. Stands out with excellent music and set design.,10,50
101,Zindagi Khwaab,1986,142,Hindi,India,160274256.12,584725327.37,A striking film with strong social messages. Centers on childhood memories and family bonds. Worth watching for its emotional depth and character development. Enriched with cultural elements and historical references. Aesthetically and artistically successful film.,10,8
102,Soul Path,2000,82,English,USA,193796577.71,886334935.2,Offers a unique interpretation of historical events. Centers on childhood memories and family bonds.,6,40
103,Nuit Voix Ombre toile,1986,119,French,France,191865243.06,700840680.06,The film takes the audience on a deep adventure. Interpersonal relationships are impressively portrayed. Enriched with cultural elements and historical references. A production that will be remembered in cinema history. Stands out with fast-paced action scenes.,9,50
104,Sang Lumire Rve Nuit,1989,136,French,France,189590134.45,845117478.88,A striking film with strong social messages. A story blending fantasy elements with the real world. Memorable scenes leave a lasting impact. A must-watch for its gripping script and powerful performances. Offers a unique interpretation of historical events.,4,21
105,Pyar Khwaab Zindagi,2022,169,Hindi,India,78660537.38,62822438.97,Offers a unique interpretation of historical events. The film takes the audience on a deep adventure. Successfully reflects local cultural motifs. The plot tells a story where love and drama intertwine. Notable for its color palette and cinematography.,2,21
106,Battaglia Regina Eredit ,1981,80,Italian,Italy,120498224.07,400937745.06,Worth watching for its emotional depth and character development. Its fast pace and surprising ending astonish viewers. Offers a unique interpretation of historical events.,8,18
107,Fuoco Tempesta Notte,2018,167,Italian,Italy,123389703.39,583310262.34,Centers on childhood memories and family bonds. Elegantly addresses the relationship between nature and humanity. A must-watch for its gripping script and powerful performances.,3,77
108,Nacht Schatten Weg Blut,1982,127,German,Germany,54975831.51,244299129.35,Stands out with fast-paced action scenes. Stands out with excellent music and set design. Amazes viewers with its visual effects.,2,54
109,Knig Geist,2014,131,German,Germany,185592212.85,594223076.27,Elegantly addresses the relationship between nature and humanity. A thrilling production filled with suspenseful moments. The film takes the audience on a deep adventure.,3,7
110,Luz Noche,2003,166,Spanish,Mexico,148497634.53,224257827.17,A story blending fantasy elements with the real world. A striking film with strong social messages. Interpersonal relationships are impressively portrayed. Aesthetically and artistically successful film.,7,59
111,Prem Sapna,1983,116,Hindi,India,218149066.08,294966826.93,A production that will be remembered in cinema history. Enriched with cultural elements and historical references.,10,28
112,Lumire toile,2009,127,French,France,175079471.66,597469211.85,A must-watch for its gripping script and powerful performances. Offers a unique interpretation of historical events. Interpersonal relationships are impressively portrayed.,8,32
113,Ombra Sussurro Segreto Luce,1983,174,Italian,Italy,179360184.07,148644803.13,Its mysterious atmosphere captivates the audience. Features powerful dialogues and cleverly constructed plot. Centers on childhood memories and family bonds. Offers a unique interpretation of historical events. A story blending fantasy elements with the real world.,7,55
114,Tabibito Kaze Shizukesa Taiy,1970,159,Japanese,Japan,114590833.78,561364157.67,Enriched with cultural elements and historical references. Stands out with its original script and captivating storyline. Its fast pace and surprising ending astonish viewers.,5,65
115,Gidae Bam,1991,91,Korean,South Korea,95536557.34,275805166.08,The plot tells a story where love and drama intertwine. Aesthetically and artistically successful film. A striking film with strong social messages. Enriched with cultural elements and historical references.,8,17
116,Reino Secreto Dragn,1993,113,Spanish,Mexico,184073005.4,722861619.83,A must-watch for its gripping script and powerful performances. A story blending fantasy elements with the real world. A striking film with strong social messages.,7,37
117,Dream Night,2005,104,Turkish,Turkey,45011931.71,69065068.16,Offers a unique interpretation of historical events. Stands out with excellent music and set design. Memorable scenes leave a lasting impact.,8,7
118,Fire Queen Storm,2001,125,English,United Kingdom,296651165.82,897027246.09,Its mysterious atmosphere captivates the audience. Stands out with fast-paced action scenes.,1,57
119,Secret Ombre me Lumire,1988,175,French,France,152866960.3,264087150.43,Memorable scenes leave a lasting impact. Stands out with fast-paced action scenes. Worth watching for its emotional depth and character development.,3,22
120,Sarang Bimil,2013,83,Korean,South Korea,85642234.81,421017666.42,A must-watch for its gripping script and powerful performances. Aesthetically and artistically successful film.,2,43
121,Taiy Tabibito Ken Hoshi,1975,138,Japanese,Japan,188692843.49,323029498.5,A story blending fantasy elements with the real world. Elegantly addresses the relationship between nature and humanity. Aesthetically and artistically successful film. Amazes viewers with its visual effects.,8,62
122,Unmei Yoru Ken Yrei,2021,87,Japanese,Japan,223268097.73,661365428.48,Worth watching for its emotional depth and character development. Successfully reflects local cultural motifs. Interpersonal relationships are impressively portrayed.,5,42
123,Storm Queen Night Fire,1971,129,English,United Kingdom,233958017.27,416962669.01,A story blending fantasy elements with the real world. A production that will be remembered in cinema history. Centers on childhood memories and family bonds. Features powerful dialogues and cleverly constructed plot. Aesthetically and artistically successful film.,4,21
124,Dream Fire River,2012,145,English,USA,60361442.55,151174681.59,Stands out with fast-paced action scenes. Successfully reflects local cultural motifs. Memorable scenes leave a lasting impact. Its mysterious atmosphere captivates the audience. Features powerful dialogues and cleverly constructed plot.,2,48
125,Love Silence Road Dream,1997,85,Turkish,Turkey,154245767.03,752676625.94,A production that will be remembered in cinema history. Stands out with excellent music and set design.,7,12
126,Dosti Khwaab Prem,1975,99,Hindi,India,295263776.8,1056870917.8,Elegantly addresses the relationship between nature and humanity. The plot tells a story where love and drama intertwine. Focuses on characters with psychological depth. Stands out with fast-paced action scenes.,8,39
127,Tsuki Yrei Tabibito Hana,2002,134,Japanese,Japan,124199311.65,321794729.91,Successfully reflects local cultural motifs. Its fast pace and surprising ending astonish viewers.,2,66
128,Unmei Yrei,1977,180,Japanese,Japan,55071336.3,124918753.74,Elegantly addresses the relationship between nature and humanity. A story blending fantasy elements with the real world. Stands out with excellent music and set design. Successfully reflects local cultural motifs.,8,23
129,Luce Tempesta,1998,123,Italian,Italy,290032528.22,1282248796.76,A story blending fantasy elements with the real world. Features powerful dialogues and cleverly constructed plot.,10,34
130,Kampf Weg,2013,148,German,Germany,5865608.12,13357176.26,Stands out with excellent music and set design. Offers a unique interpretation of historical events. Interpersonal relationships are impressively portrayed. Centers on childhood memories and family bonds. A story blending fantasy elements with the real world.,2,56
131,Legado Susurro Dragn Noche,2016,159,Spanish,Spain,244033177.64,799294487.87,Aesthetically and artistically successful film. The film takes the audience on a deep adventure.,8,39
132,Ombre Sang Voix me,1977,83,French,France,63164229.36,215946151.43,A production that will be remembered in cinema history. Successfully reflects local cultural motifs.,1,25
133,Saebyeok Bitnaneun Chueok Uri,1979,82,Korean,South Korea,35379416.46,161360884.25,Stands out with excellent music and set design. Elegantly addresses the relationship between nature and humanity.,8,55
134,me Sang Libert toile,1982,130,French,France,15751192.98,8433728.43,The plot tells a story where love and drama intertwine. A striking film with strong social messages. Interpersonal relationships are impressively portrayed. Its fast pace and surprising ending astonish viewers.,5,73
135,Batalla Secreto Reino,2016,109,Spanish,Spain,214429953.47,616998526.67,Enriched with cultural elements and historical references. Notable for its color palette and cinematography.,10,63
136,Prem Dil Sapna Aag,2000,159,Hindi,India,281719860.57,580466449.8,A striking film with strong social messages. Its mysterious atmosphere captivates the audience. Stands out with excellent music and set design.,2,64
137,Libert toile Cur Rve,2002,167,French,France,102076323.09,327608916.14,Memorable scenes leave a lasting impact. Centers on childhood memories and family bonds. Notable for its color palette and cinematography. A story blending fantasy elements with the real world. Its mysterious atmosphere captivates the audience.,4,76
138,Bitnaneun Sarangi Chueok Haneul,2021,106,Korean,South Korea,85095935.97,329461200.41,Features powerful dialogues and cleverly constructed plot. A striking film with strong social messages. A thrilling production filled with suspenseful moments.,3,80
139,Aag Zindagi Sapna,2001,106,Hindi,India,167270738.0,835797598.95,Its fast pace and surprising ending astonish viewers. The plot tells a story where love and drama intertwine. Stands out with fast-paced action scenes.,5,31
140,Ghost Soul Shadow,1997,109,English,USA,36646065.83,55278038.8,Aesthetically and artistically successful film. Offers a unique interpretation of historical events. Its fast pace and surprising ending astonish viewers. Features powerful dialogues and cleverly constructed plot.,2,80
141,Battaglia Sussurro,1976,138,Italian,Italy,288812809.16,1126641299.11,Focuses on characters with psychological depth. The plot tells a story where love and drama intertwine.,1,57
142,Long Shan Hua,1976,106,Chinese,China,273340238.28,329825031.75,A story blending fantasy elements with the real world. A thrilling production filled with suspenseful moments. Aesthetically and artistically successful film. Notable for its color palette and cinematography. Its mysterious atmosphere captivates the audience.,3,16
143,Night Dream,2022,105,English,USA,132012984.04,312986187.73,A production that will be remembered in cinema history. Its fast pace and surprising ending astonish viewers. Stands out with its original script and captivating storyline. Stands out with fast-paced action scenes.,3,16
144,Licht Nacht Kampf Seele,1993,160,German,Germany,199666078.85,236055314.64,Memorable scenes leave a lasting impact. Stands out with excellent music and set design. Its fast pace and surprising ending astonish viewers. Centers on childhood memories and family bonds. Its mysterious atmosphere captivates the audience.,7,47
145,Tabibito Ken,1998,171,Japanese,Japan,241970936.27,1148489105.22,Successfully reflects local cultural motifs. Stands out with its original script and captivating storyline. Memorable scenes leave a lasting impact. The plot tells a story where love and drama intertwine. Interpersonal relationships are impressively portrayed.,3,2
